"name","version","status","serverId","versionId","publishedAt","updatedAt","isLatest"
,,,,,"09/09/2025 10:36:46","09/14/2025 02:22:00","False"
,,,,,"09/10/2025 13:57:43","09/10/2025 13:57:43","True"
,,,,,"09/10/2025 13:59:26","09/10/2025 13:59:26","True"
,,,,,"09/10/2025 17:03:02","09/10/2025 17:03:02","True"
,,,,,"09/10/2025 18:08:11","09/10/2025 18:08:11","True"
,,,,,"09/10/2025 19:25:38","09/12/2025 14:23:41","False"
,,,,,"09/11/2025 00:42:54","09/11/2025 00:42:54","True"
,,,,,"09/11/2025 01:00:19","09/11/2025 01:06:15","False"
,,,,,"09/11/2025 01:06:15","09/12/2025 01:41:27","False"
,,,,,"09/11/2025 13:54:30","09/11/2025 13:54:30","True"
,,,,,"09/11/2025 13:57:38","09/11/2025 13:57:38","True"
,,,,,"09/11/2025 13:58:16","09/11/2025 13:58:16","True"
,,,,,"09/11/2025 16:52:48","09/11/2025 16:52:48","True"
,,,,,"09/12/2025 01:14:07","09/12/2025 01:14:07","True"
,,,,,"09/12/2025 01:41:27","09/12/2025 01:50:59","False"
,,,,,"09/12/2025 01:50:59","09/12/2025 01:53:51","False"
,,,,,"09/12/2025 01:53:51","09/12/2025 01:55:40","False"
,,,,,"09/12/2025 01:55:40","09/12/2025 02:03:43","False"
,,,,,"09/12/2025 02:03:43","09/12/2025 04:24:04","False"
,,,,,"09/12/2025 04:24:04","09/12/2025 04:28:40","False"
,,,,,"09/12/2025 04:28:40","09/12/2025 04:48:10","False"
,,,,,"09/12/2025 04:48:10","09/12/2025 05:10:59","False"
,,,,,"09/12/2025 05:10:59","09/18/2025 00:54:49","False"
,,,,,"09/12/2025 14:23:41","09/19/2025 09:07:32","False"
,,,,,"09/13/2025 22:54:39","09/13/2025 22:54:39","True"
,,,,,"09/14/2025 02:22:00","09/16/2025 22:54:28","False"
,,,,,"09/14/2025 03:11:31","09/14/2025 03:11:31","True"
,,,,,"09/14/2025 14:25:46","09/14/2025 14:25:46","True"
,,,,,"09/14/2025 15:20:36","09/14/2025 15:20:36","True"
,,,,,"09/14/2025 17:42:05","09/14/2025 17:42:05","True"
,,,,,"09/14/2025 21:19:18","09/14/2025 21:19:18","True"
,,,,,"09/14/2025 21:38:57","09/14/2025 21:38:57","True"
,,,,,"09/14/2025 22:00:51","09/14/2025 22:00:51","True"
,,,,,"09/14/2025 22:40:30","09/14/2025 22:40:30","True"
,,,,,"09/15/2025 03:11:16","09/15/2025 04:01:11","False"
,,,,,"09/15/2025 03:34:24","09/15/2025 03:34:24","True"
,,,,,"09/15/2025 04:01:11","09/15/2025 04:20:53","False"
,,,,,"09/15/2025 04:20:53","09/16/2025 23:02:09","False"
,,,,,"09/15/2025 17:56:16","09/15/2025 17:56:16","True"
,,,,,"09/16/2025 06:05:33","09/16/2025 06:05:33","True"
,,,,,"09/16/2025 06:32:38","09/16/2025 06:32:38","True"
,,,,,"09/16/2025 12:14:42","09/16/2025 12:14:42","True"
,,,,,"09/16/2025 19:42:06","09/17/2025 10:41:17","False"
,,,,,"09/16/2025 21:06:15","09/16/2025 21:06:15","True"
,,,,,"09/16/2025 22:41:06","09/18/2025 14:42:06","False"
,,,,,"09/16/2025 22:54:28","09/16/2025 22:54:28","True"
,,,,,"09/16/2025 23:02:09","09/16/2025 23:02:09","True"
,,,,,"09/17/2025 02:23:35","09/17/2025 02:23:35","True"
,,,,,"09/17/2025 02:35:06","09/17/2025 02:38:18","False"
,,,,,"09/17/2025 02:38:18","09/17/2025 03:00:38","False"
,,,,,"09/17/2025 03:00:38","09/17/2025 03:17:49","False"
,,,,,"09/17/2025 03:17:49","09/17/2025 03:17:49","True"
,,,,,"09/17/2025 04:55:34","09/17/2025 04:55:34","True"
,,,,,"09/17/2025 10:41:17","09/17/2025 10:41:17","True"
,,,,,"09/18/2025 00:54:48","09/18/2025 00:54:48","True"
,,,,,"09/18/2025 07:51:38","09/18/2025 07:51:38","True"
,,,,,"09/18/2025 09:44:13","09/18/2025 09:44:13","True"
,,,,,"09/18/2025 10:21:35","09/18/2025 10:21:35","True"
,,,,,"09/18/2025 12:49:06","09/18/2025 12:49:06","True"
,,,,,"09/18/2025 14:42:06","09/18/2025 14:42:06","True"
,,,,,"09/18/2025 18:42:59","09/18/2025 18:42:59","True"
